id_comercio|id_bandera|comercio_cuit|comercio_razon_social|comercio_bandera_nombre|comercio_bandera_url|comercio_ultima_actualizacion|comercio_version_sepa
12|1|30548083156|COTO CENTRO INTEGRAL DE COMERCIALIZACION S.A.|COTO CICSA|http://www.coto.com.ar/|2026-04-03T01:04:42-03:00|1.0
13|1|30525705931|Cooperativa Obrera Limitada de Consumo y Vivienda|Cooperativa Obrera Limitada de Consumo y Vivienda|http://www.cooperativaobrera.coop|2026-04-03T04:00:04-03:00|1.0
15|1|30685849751|DIA Argentina S.A.|Supermercados DIA|https://www.supermercadosdia.com.ar|2026-04-03T04:05:34-03:00|1.0
16|1|30612929455|Libertad S.A.|Hipermercado Libertad|http://www.libertadsa.com.ar|2026-04-03T03:02:32-03:00|1.0
16|2|30612929455|Libertad S.A.|Mini Libertad|http://www.libertadsa.com.ar|2026-04-03T03:02:32-03:00|1.0
16|3|30612929455|Libertad S.A.|Petit Libertad|http://www.libertadsa.com.ar|2026-04-03T03:02:32-03:00|1.0
19|1|30678774495|OPERADORA DE ESTACIONES DE SERVICIOS SA|FULL|n/a|2017-02-15T03:43:36|2.3
21|1|30551497492|Supermercados Toledo S.A.|Toledo|http://www.supertoledo.com|2026-04-03T05:00:09-03:00|1.0
23|1|30695542476|PAN AMERICAN ENERGY SL SUCURSAL ARGENTINA|Axion Energy|http://www.axionenergy.com|2026-04-03T04:00:00-0300|1.0
24|1|30692138747|Farmcity S.A.|SIMPLICITY|http://www.farmacity.com.ar|2026-04-03T02:06:06-03:00|1.0
24|2|30692138747|Farmcity S.A.|FARMACITY|http://www.farmacity.com.ar|2026-04-03T02:06:06-03:00|1.0
3|1|30516186670|DEHEZA S.A.I.C.F. e I.|DEHEZA S.A.I.C.F. e I.||2026-04-02T16:00:02-03:00|1.0
47|1|33529300099|Cooperativa Agricola, Ganadera e Industrial de Patagones y Viedma Ltda|Sup. Unicoop        |www.lacooperativa.com.ar                |2025-06-11T21:00:01-03:00|1.0
4|1|30537679855|ESTACION LIMA S.A.|ESTACION LIMA S.A.||2026-04-02T16:00:03-03:00|1.0
8|1|30616491780|Mariano S.A.|Mariano Max|http://www.mmax.com.ar|2026-04-02T16:30:37-03:00|1
9|1|30590360763|Cencosud S.A.|Vea|http://www.Veadigital.com.ar|2026-04-03T05:01:53-03:00|1.0
9|2|30590360763|Cencosud S.A.|Disco|http://www.Discovirtual.com.ar|2026-04-03T05:01:53-03:00|1.0
9|3|30590360763|Cencosud S.A.|Jumbo|http://www.Jumbo.com.ar|2026-04-03T05:01:53-03:00|1.0
10|2|30687310434|INC S.A.|Market|www.carrefour.com.ar|2026-04-03T08:30:02-03:00|1.0
10|4|30687310434|INC S.A.|Maxi|www.carrefour.com.ar|2026-04-03T08:30:02-03:00|1.0
10|3|30687310434|INC S.A.|Express|www.carrefour.com.ar|2026-04-03T08:30:02-03:00|1.0
10|1|30687310434|INC S.A.|Hipermercado Carrefour|www.carrefour.com.ar|2026-04-03T08:30:02-03:00|1.0
11|1|30678138300|DORINKA SRL|SuperChangomas|www.masonline.com.ar|2021-04-03T12:53:43-03:00|1.0
11|2|30678138300|DORINKA SRL|Changomas|www.masonline.com.ar|2017-10-19T12:15:37-03:00|1.0
11|4|30678138300|DORINKA SRL|SuperChangomas|www.masonline.com.ar|2017-10-19T12:15:53-03:00|1.0
11|5|30678138300|DORINKA SRL|HiperChangomas|www.masonline.com.ar|2021-04-03T12:53:57-03:00|1.0
2|1|30506730038|S.A. IMP. Y EXP. DE LA PATAGONIA|La Anonima|http://www.laanonima.com.ar/|2026-04-03T04:00:16-03:00|1.0
2|2|30506730038|S.A. IMP. Y EXP. DE LA PATAGONIA|Topsy|http://www.laanonima.com.ar/|2026-04-03T04:00:16-03:00|1.0
2|3|30506730038|S.A. IMP. Y EXP. DE LA PATAGONIA|Bomba|http://www.laanonima.com.ar/|2026-04-03T04:00:16-03:00|1.0
36|3|30710113285|SuperCLC s.a. |SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.7930000|1.0
36|4|30710113633|SuperCentral s.a. |SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.7970000|1.0
36|5|30711661782|Caluc Saladillo sa.|SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.8070000|1.0
36|6|30711661871|Agapantus sa.|SuperCLC|https://www.facebook.com/SuperCLC/|2019-11-26T15:44:29.8470000|1.0
5|1|30539523410|California S.A.|California Supermercados|http://www.californiasa.com.ar/Logo51.jpg|2026-04-03T09:00:03-03:00|1.0
6|1|30578411174|Alberdi S.A.|Supermercados Comodin|http://www.supermercadoscomodin.com|2026-04-03T09:30:00-03:00|1.0
6|2|30578411174|Alberdi S.A.|Maxi Comodin|http://www.supermercadoscomodin.com|2026-04-03T09:30:00-03:00|1.0
