establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
GIACOSA,14063190000,MONTE BUEY,14,CÓRDOBA,63,MARCOS JUÁREZ,190,70,FARMACIA,2589,25 de mayo 565,,,
SAINZ VARENGO,14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,70,FARMACIA,5800,av españa 2 esquina alonso,,,
DE LA COSTA,74028090000,VILLA LARCA,74,SAN LUIS,28,CHACABUCO,90,70,FARMACIA,5883,AVENIDA SAN MARTIN N° 368,,-64.97980224,-32.61594924
USPALLATA,50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,JORGE A CALLE  N° 704 Y P. DE LOS ANDES,,,
DEL ESTE II GUTIERREZ,90014010001,ALDERETES,90,TUCUMÁN,14,CRUZ ALTA,10,70,FARMACIA,4178,"AVENIDA RIVADAVIA 2100, ESQUINA  ALURRALDE",,,
FARMACON,90021050000,CONCEPCION,90,TUCUMÁN,21,CHICLIGASTA,50,70,FARMACIA,4146,SAN MARTÍN 2751,,,
FARMA LIBERTAD,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Avenida Sabattini 3250  Local 510,,,
MARONI,14021250000,SALSIPUEDES,14,CÓRDOBA,21,COLÓN,250,70,FARMACIA,5113,san martin esquina guemes 2,,,
AGUSTIN GARZON,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,AGUSTIN GARZON 1607,,-64.16322883,-31.42416036
NICOLINO PATIRE,14098030000,ALCIRA,14,CÓRDOBA,98,RÍO CUARTO,30,70,FARMACIA,5813,BV. ROCA  606,,,
MARTIN,14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,70,FARMACIA,5223,don bosco 3694,,,
SUHR,14063090000,CORRAL DE BUSTOS,14,CÓRDOBA,63,MARCOS JUÁREZ,90,70,FARMACIA,2645,Edison 425 - CORRAL DE BUSTOS - CORDOBA,,-62.18501667,-33.28614879
DEL AGUILA LAS HERAS,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,LAS HERAS 150,,,
DEL PUEBLO (SAN JUSTO),14140280000,MARULL,14,CÓRDOBA,140,SAN JUSTO,280,70,FARMACIA,5139,san martin 383,,,
FARMACIA II FARMA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av Fuerza Aérea 3351 - Local 2,,,
MALBRAN,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Av Velez Sarsfield 4414 local 2,,-64.20203894,-31.46185086
MASSOLA,14119130000,MANFREDI,14,CÓRDOBA,119,RÍO SEGUNDO,130,70,FARMACIA,5988,Virginia Yaniz s/n,,-63.74918342,-31.84106236
ROBLEDO,14175080000,SAN JOSE DE LA DORMIDA,14,CÓRDOBA,175,TULUMBA,80,70,FARMACIA,5244,av. Peron 472,,,
BURGOS,50049050002,LAS HERAS,50,MENDOZA,49,LAS HERAS,50,70,FARMACIA,5539,BURGOS N° 619,,-68.84149803,-32.84673397
MESURA CUARTA SECCION,50007010004,4A. SECCION,50,MENDOZA,7,CAPITAL,10,70,FARMACIA,5500,SAN MARTIN  Nº 2699 esq. JUJUY,,,
