localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp
14063190000,MONTE BUEY,14,CÓRDOBA,63,MARCOS JUÁREZ,190,0,2589
14098230000,RIO CUARTO,14,CÓRDOBA,98,RÍO CUARTO,230,0,5800
74028090000,VILLA LARCA,74,SAN LUIS,28,CHACABUCO,90,0,5883
50007010006,6A. SECCION,50,MENDOZA,7,CAPITAL,10,6,5500
90014010001,ALDERETES,90,TUCUMÁN,14,CRUZ ALTA,10,1,4178
90021050000,CONCEPCION,90,TUCUMÁN,21,CHICLIGASTA,50,0,4146
14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,5000
14021250000,SALSIPUEDES,14,CÓRDOBA,21,COLÓN,250,0,5113
14098030000,ALCIRA,14,CÓRDOBA,98,RÍO CUARTO,30,0,5813
14021050000,COLONIA CAROYA,14,CÓRDOBA,21,COLÓN,50,0,5223
14063090000,CORRAL DE BUSTOS,14,CÓRDOBA,63,MARCOS JUÁREZ,90,0,2645
50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2,5500
14140280000,MARULL,14,CÓRDOBA,140,SAN JUSTO,280,0,5139
14119130000,MANFREDI,14,CÓRDOBA,119,RÍO SEGUNDO,130,0,5988
14175080000,SAN JOSE DE LA DORMIDA,14,CÓRDOBA,175,TULUMBA,80,0,5244
50049050002,LAS HERAS,50,MENDOZA,49,LAS HERAS,50,2,5539
50007010004,4A. SECCION,50,MENDOZA,7,CAPITAL,10,4,5500
6760010002,CAMPO DE MAYO,6,BUENOS AIRES,760,SAN MIGUEL,10,2,1659
94014020000,USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,20,0,9410
14091070000,COSQUIN,14,CÓRDOBA,91,PUNILLA,70,0,5166
14098020000,ADELIA MARIA,14,CÓRDOBA,98,RÍO CUARTO,20,0,5843
42098050000,VICTORICA,42,LA PAMPA,98,LOVENTUÉ,50,0,6319
50028010000,COLONIA SEGOVIA,50,MENDOZA,28,GUAYMALLÉN,10,0,5525
50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1,5501
14119100000,LAS JUNTURAS,14,CÓRDOBA,119,RÍO SEGUNDO,100,0,5965
50105210002,SAN RAFAEL,50,MENDOZA,105,SAN RAFAEL,210,2,5600
14119190000,RIO SEGUNDO,14,CÓRDOBA,119,RÍO SEGUNDO,190,0,5960
10091150000,SANTA MARIA,10,CATAMARCA,91,SANTA MARÍA,150,0,4139
